Liquefied U.S. Natural Gas Exports
https://www.eia.gov/dnav/ng/hist/n9133us2m.htm
07:53:58 GMT+0530 (India Standard Time)
Data source: U.S. Energy Information Administration
Month,Liquefied U.S. Natural Gas Exports  Million Cubic Feet
Jan 2025,414945
Dec 2024,410786
Nov 2024,376065
Oct 2024,376200
Sep 2024,363030
Aug 2024,363574
Jul 2024,323873
Jun 2024,356423
May 2024,367723
Apr 2024,303776
Mar 2024,369898
Feb 2024,359563
Jan 2024,396260
Dec 2023,422935
Nov 2023,386262
Oct 2023,384403
Sep 2023,346604
Aug 2023,353059
Jul 2023,349292
Jun 2023,327872
May 2023,366774
Apr 2023,375843
Mar 2023,366552
Feb 2023,326275
Jan 2023,337155
Dec 2022,339960
Nov 2022,302608
Oct 2022,309823
Sep 2022,295379
Aug 2022,300215
Jul 2022,300415
Jun 2022,300659
May 2022,351448
Apr 2022,330463
Mar 2022,364116
Feb 2022,316766
Jan 2022,353791
Dec 2021,345363
Nov 2021,306397
Oct 2021,298119
Sep 2021,284813
Aug 2021,298262
Jul 2021,300143
Jun 2021,271368
May 2021,314922
Apr 2021,306818
Mar 2021,321023
Feb 2021,208394
Jan 2021,305196
Dec 2020,304263
Nov 2020,280682
Oct 2020,222963
Sep 2020,151128
Aug 2020,112462
Jul 2020,96200
Jun 2020,109002
May 2020,182438
Apr 2020,210466
Mar 2020,244269
Feb 2020,225786
Jan 2020,250305
Dec 2019,220646
Nov 2019,190610
Oct 2019,177966
Sep 2019,160274
Aug 2019,138578
Jul 2019,156865
Jun 2019,141956
May 2019,144913
Apr 2019,127102
Mar 2019,130814
Feb 2019,102866
Jan 2019,126957
Dec 2018,122795
Nov 2018,107585
Oct 2018,89886
Sep 2018,81381
Aug 2018,91526
Jul 2018,98240
Jun 2018,73535
May 2018,94797
Apr 2018,85684
Mar 2018,91542
Feb 2018,73684
Jan 2018,72463
Dec 2017,82604
Nov 2017,80100
Oct 2017,80195
Sep 2017,54733
Aug 2017,45468
Jul 2017,53592
Jun 2017,52462
May 2017,60782
Apr 2017,50669
Mar 2017,43553
Feb 2017,52042
Jan 2017,51342
Dec 2016,41825
Nov 2016,32976
Oct 2016,3000
Sep 2016,16764
Aug 2016,26768
Jul 2016,15739
Jun 2016,16445
May 2016,9874
Apr 2016,10036
Mar 2016,10078
Feb 2016,3309
Jan 2016,26
Dec 2015,3172
Nov 2015,2969
Oct 2015,2769
Sep 2015,2767
Aug 2015,2763
Jul 2015,2771
Jun 2015,2774
May 2015,2769
Apr 2015,24
Mar 2015,23
Feb 2015,2748
Jan 2015,2832
Dec 2014,28
Nov 2014,27
Oct 2014,2904
Sep 2014,2904
Aug 2014,2863
Jul 2014,2827
Jun 2014,17
May 2014,1907
Apr 2014,25
Mar 2014,28
Feb 2014,2694
Jan 2014,29
Dec 2013,26
Nov 2013,2747
Oct 2013,16
Sep 2013,12
Aug 2013,9
Jul 2013,8
Jun 2013,12
May 2013,15
Apr 2013,21
Mar 2013,23
Feb 2013,22
Jan 2013,13
Dec 2012,5520
Nov 2012,7
Oct 2012,4371
Sep 2012,12
Aug 2012,2455
Jul 2012,12
Jun 2012,2399
May 2012,2811
Apr 2012,18
Mar 2012,2615
Feb 2012,1880
Jan 2012,6199
Dec 2011,5215
Nov 2011,4869
Oct 2011,2870
Sep 2011,9965
Aug 2011,1926
Jul 2011,2593
Jun 2011,1929
May 2011,8442
Apr 2011,7743
Mar 2011,5013
Feb 2011,5049
Jan 2011,14388
Dec 2010,15111
Nov 2010,9567
Oct 2010,7906
Sep 2010,6664
Aug 2010,1928
Jul 2010,3842
Jun 2010,5031
May 2010,1930
Apr 2010,3852
Mar 2010,1935
Feb 2010,5088
Jan 2010,1939
Dec 2009,6589
Nov 2009,1931
Oct 2009,1927
Sep 2009,3845
Aug 2009,1925
Jul 2009,3837
Jun 2009,1915
May 2009,1914
Apr 2009,1917
Mar 2009,2940
Feb 2009,2763
Jan 2009,1851
Dec 2008,2663
Nov 2008,3144
Oct 2008,2946
Sep 2008,3133
Aug 2008,4994
Jul 2008,3615
Jun 2008,3855
May 2008,3489
Apr 2008,2865
Mar 2008,2933
Feb 2008,2738
Jan 2008,2842
Dec 2007,4441
Nov 2007,3209
Oct 2007,3580
Sep 2007,3609
Aug 2007,4316
