Month,ng_prod
Jan-25,3905408
Dec-24,3991323
Nov-24,3785867
Oct-24,3889052
Sep-24,3705158
Aug-24,3849811
Jul-24,3889585
Jun-24,3731414
May-24,3834338
Apr-24,3716254
Mar-24,3880213
Feb-24,3723104
Jan-24,3871729
Dec-23,3967918
Nov-23,3822485
Oct-23,3889750
Sep-23,3743533
Aug-23,3831593
Jul-23,3821355
Jun-23,3726179
May-23,3871172
Apr-23,3718823
Mar-23,3859161
Feb-23,3459166
Jan-23,3839714
Dec-22,3763363
Nov-22,3703209
Oct-22,3799767
Sep-22,3658031
Aug-22,3715517
Jul-22,3716069
Jun-22,3554842
May-22,3682519
Apr-22,3578937
Mar-22,3665056
Feb-22,3270055
Jan-22,3593563
Dec-21,3719546
Nov-21,3564460
Oct-21,3612938
Sep-21,3440723
Aug-21,3534922
Jul-21,3508680
Jun-21,3389749
May-21,3524820
Apr-21,3428387
Mar-21,3509749
Feb-21,2938642
Jan-21,3504128
Dec-20,3516066
Nov-20,3371220
Oct-20,3381515
Sep-20,3274179
Aug-20,3368303
Jul-20,3386520
Jun-20,3220917
May-20,3290613
Apr-20,3375996
Mar-20,3579884
Feb-20,3366311
Jan-20,3598402
Dec-19,3622512
Nov-19,3509293
Oct-19,3551970
Sep-19,3396571
Aug-19,3448106
Jul-19,3395984
Jun-19,3299794
May-19,3424018
Apr-19,3315270
Mar-19,3383042
Feb-19,3056916
Jan-19,3376735
Dec-18,3391473
Nov-18,3259912
Oct-18,3314676
Sep-18,3153978
Aug-18,3206177
Jul-18,3138242
Jun-18,2972738
May-18,3098558
Apr-18,2976108
Mar-18,3069284
Feb-18,2751215
Jan-18,2993178
Dec-17,3025419
Nov-17,2897003
Oct-17,2911373
Sep-17,2763285
Aug-17,2769670
Jul-17,2753997
Jun-17,2688422
May-17,2778965
Apr-17,2689967
Mar-17,2797117
Feb-17,2493267
Jan-17,2723628
Dec-16,2746543
Nov-16,2678247
Oct-16,2720187
Sep-16,2626213
Aug-16,2722631
Jul-16,2721210
Jun-16,2628164
May-16,2767844
Apr-16,2678610
Mar-16,2824983
Feb-16,2653842
Jan-16,2823104
Dec-15,2812110
Nov-15,2726220
Oct-15,2806078
Sep-15,2721449
Aug-15,2744748
Jul-15,2756222
Jun-15,2660158
May-15,2790849
Apr-15,2758730
Mar-15,2827524
Feb-15,2520509
Jan-15,2790052
Dec-14,2770080
Nov-14,2661917
Oct-14,2735719
Sep-14,2625503
Aug-14,2644937
Jul-14,2629156
Jun-14,2560033
May-14,2633253
Apr-14,2583873
Mar-14,2623914
Feb-14,2356978
Jan-14,2580019
Dec-13,2525967
Nov-13,2455169
Oct-13,2513172
Sep-13,2414405
Aug-13,2495089
Jul-13,2512441
Jun-13,2385386
May-13,2488677
Apr-13,2446307
Mar-13,2504000
Feb-13,2269907
Jan-13,2512031
Dec-12,2523763
Nov-12,2471365
